City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
252,Amapa,BR,1.0,-52.0,93.94,31,21,5.93,few clouds
253,Siderno,IT,38.2779,16.302,53.33,82,100,7.63,light rain
254,Tuatapere,NZ,-46.1333,167.6833,54.32,94,100,4.47,overcast clouds
255,Grenaa,DK,56.4158,10.8783,32.22,94,100,8.03,overcast clouds
256,Kismayo,SO,-0.3582,42.5454,79.14,83,63,9.24,broken clouds
257,Vanimo,PG,-2.6741,141.3028,77.32,88,70,1.23,broken clouds
258,Aranjuez,ES,40.0311,-3.6025,57.09,88,53,13.89,broken clouds
259,Miandrivazo,MG,-19.5167,45.4667,79.16,79,68,5.91,light rain
260,Alakurtti,RU,66.9672,30.3491,11.46,98,58,0.63,broken clouds
261,Kenai,US,60.5544,-151.2583,37.15,79,100,8.05,overcast clouds
262,Moose Factory,CA,51.2585,-80.6094,10.4,67,100,17.27,overcast clouds
263,Provideniya,RU,64.3833,-173.3,20.95,92,100,11.32,overcast clouds
264,San Quintin,MX,30.4833,-115.95,68.68,27,0,8.66,clear sky
265,Pelym,RU,61.0108,61.9978,7.65,94,28,4.5,scattered clouds
266,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,87.71,45,60,8.28,broken clouds
267,Rabo De Peixe,PT,37.8,-25.5833,65.71,97,75,17.27,broken clouds
268,Huarmey,PE,-10.0681,-78.1522,69.93,73,86,9.19,overcast clouds
269,Dumabato,PH,16.3167,121.7,70.47,97,100,0.69,overcast clouds
270,Jadu,LY,31.953,12.0261,49.42,39,0,7.58,clear sky
271,Bana,CM,5.1481,10.2762,62.64,88,51,0.45,broken clouds
272,Belaya Gora,RU,68.5333,146.4167,-31.34,100,26,0.92,scattered clouds
273,Lata,PT,40.1629,-8.3327,61.07,98,98,5.28,overcast clouds
274,Chernyshevskiy,RU,63.0128,112.4714,-20.34,100,81,2.21,broken clouds
275,Kalmunai,LK,7.4167,81.8167,73.63,87,2,10.42,clear sky
276,Santo Antonio Do Ica,BR,-3.1022,-67.9397,87.33,64,98,0.31,overcast clouds
277,Miri,MY,4.4148,114.0089,80.74,89,40,3.44,scattered clouds
278,Kifri,IQ,34.6959,44.9661,67.14,30,0,5.35,clear sky
279,Bilma,NE,18.6853,12.9164,74.44,16,58,5.97,broken clouds
280,Ahipara,NZ,-35.1667,173.1667,62.51,90,100,10.6,overcast clouds
281,Plainview,US,40.7765,-73.4673,37.96,31,0,14.97,clear sky
282,Hamilton,US,39.1834,-84.5333,34.9,32,0,9.22,clear sky
283,Sudova Vyshnya,UA,49.7889,23.3722,31.35,95,98,2.53,overcast clouds
284,Brae,GB,60.3964,-1.353,44.92,66,100,25.34,overcast clouds
285,Imperia,IT,43.9667,7.7833,50.0,77,28,3.74,scattered clouds
286,Dargaville,NZ,-35.9333,173.8833,61.3,87,100,9.35,moderate rain
287,Vallenar,CL,-28.5708,-70.7581,84.51,32,0,10.85,clear sky
288,Nhulunbuy,AU,-12.2333,136.7667,81.21,83,100,0.0,overcast clouds
289,Grand-Lahou,CI,5.1367,-5.0242,78.35,81,52,5.06,broken clouds
290,Opuwo,NA,-18.0607,13.84,75.72,43,94,6.67,light rain
291,Hirara,JP,24.8,125.2833,75.72,77,100,15.37,overcast clouds
292,Mayo,US,38.8876,-76.5119,39.24,32,0,16.11,clear sky
293,Carsamba,TR,41.1989,36.7219,60.55,67,0,8.05,clear sky
294,Beloha,MG,-25.1667,45.05,70.75,85,100,14.18,moderate rain
295,Karoi,ZW,-16.8099,29.6925,80.47,29,82,5.53,broken clouds
296,Thinadhoo,MV,0.5333,72.9333,80.33,80,2,10.51,clear sky
297,Baykit,RU,61.67,96.37,2.57,98,100,4.12,overcast clouds
298,Cholet,FR,47.1667,-1.0,47.44,89,100,7.27,overcast clouds
299,Tayu,ID,-6.5397,111.0518,77.65,87,91,2.66,overcast clouds
300,Moen,NO,69.1304,18.6123,24.57,56,0,4.47,clear sky
301,Jumla,NP,29.2747,82.1838,41.23,40,4,5.32,clear sky
302,Mapimi,MX,25.8167,-103.85,52.7,63,66,5.64,broken clouds
303,Yuanping,CN,38.7153,112.7575,42.87,60,100,5.19,overcast clouds
304,Vao,NC,-22.6667,167.4833,73.9,78,42,9.24,scattered clouds
305,Riyadh,SA,24.6877,46.7219,64.54,34,7,8.99,clear sky
306,Tiarei,PF,-17.5333,-149.3333,80.62,73,42,14.9,scattered clouds
307,Buchanan,LR,5.8808,-10.0467,77.95,74,99,7.05,overcast clouds
308,Westport,US,41.1415,-73.3579,37.89,32,0,21.85,clear sky
309,Muros,ES,42.7762,-9.0603,61.09,92,100,13.89,overcast clouds
310,Gukovo,RU,48.0531,39.9311,42.66,78,100,11.88,overcast clouds
311,Oranjemund,NA,-28.55,16.4333,61.34,85,66,13.33,broken clouds
312,Kavaratti,IN,10.5669,72.642,80.51,57,61,4.94,broken clouds
313,Meulaboh,ID,4.1363,96.1285,75.42,92,100,6.82,overcast clouds
314,Atar,MR,20.5169,-13.0499,78.08,17,0,10.18,clear sky
315,Svetlyy,RU,54.675,20.1347,28.45,95,100,16.55,light snow
316,Izberbash,RU,42.5696,47.8645,53.65,61,99,7.63,overcast clouds
317,Vestmannaeyjar,IS,63.4427,-20.2734,44.58,76,31,20.92,scattered clouds
318,Port Augusta,AU,-32.5,137.7667,54.95,57,95,13.02,overcast clouds
319,Kostivere,EE,59.427,25.0962,19.58,84,0,9.22,clear sky
320,Codajas,BR,-3.8367,-62.0569,97.57,33,50,3.58,scattered clouds
321,Slavyanka,RU,42.8633,131.3847,44.08,75,100,10.83,moderate rain
322,Korla,CN,41.7597,86.1469,36.07,39,6,3.49,clear sky
323,Coahuayana,MX,18.7333,-103.6833,87.66,55,86,4.74,overcast clouds
324,Ruthin,GB,53.1137,-3.3178,47.25,81,45,10.33,scattered clouds
325,Killybegs,IE,54.6333,-8.45,42.51,68,99,10.49,overcast clouds
326,Novoagansk,RU,61.9449,76.6625,-22.68,99,24,4.9,few clouds
327,Mokhsogollokh,RU,61.4681,128.9203,-26.36,100,43,3.44,scattered clouds
328,Mehamn,NO,71.0357,27.8492,35.55,87,75,5.75,broken clouds
329,Esperance,AU,-33.8667,121.9,55.6,61,99,7.87,overcast clouds
330,Garowe,SO,8.4054,48.4845,74.52,65,12,18.1,few clouds
331,Novyy Urgal,RU,51.0736,132.5642,19.47,90,100,9.37,overcast clouds
332,Labuhan,ID,-6.8844,112.2051,79.39,80,100,8.3,overcast clouds
333,Lakhdenpokhya,RU,61.5198,30.1992,28.56,90,100,7.4,light snow
